tag,source,alpha,cond_density,ref_source,f1,md5,gen_edge_density
e1_astronaut_a1.0,astronaut,1.0,0.0900001525878906,horse,0.09782149895094466,50ad4be9209fc59e8684d0391472eaf4,0.06668853759765625
e1_astronaut_a1.0,astronaut,1.0,0.0900001525878906,page,0.2963781166988835,50ad4be9209fc59e8684d0391472eaf4,0.06668853759765625
e1_astronaut_a1.0,astronaut,1.0,0.0900001525878906,rocket,0.20406385857384715,50ad4be9209fc59e8684d0391472eaf4,0.06668853759765625
e1_astronaut_a1.0,astronaut,1.0,0.0900001525878906,immunohistochemistry,0.4041427635082703,50ad4be9209fc59e8684d0391472eaf4,0.06668853759765625
e1_astronaut_a1.0,astronaut,1.0,0.0900001525878906,cell,0.01604164345827046,50ad4be9209fc59e8684d0391472eaf4,0.06668853759765625
e1_astronaut_a1.0,astronaut,1.0,0.0900001525878906,synth_sparse,0.04812203925776543,50ad4be9209fc59e8684d0391472eaf4,0.06668853759765625
e1_astronaut_a1.0,astronaut,1.0,0.0900001525878906,synth_low,0.17599220234278573,50ad4be9209fc59e8684d0391472eaf4,0.06668853759765625
e1_astronaut_a1.0,astronaut,1.0,0.0900001525878906,synth_mid,0.24695782228810487,50ad4be9209fc59e8684d0391472eaf4,0.06668853759765625
e1_astronaut_a1.0,astronaut,1.0,0.0900001525878906,synth_dense,0.33885783253657376,50ad4be9209fc59e8684d0391472eaf4,0.06668853759765625
e1_astronaut_a1.0,astronaut,1.0,0.0900001525878906,synth_veryd,0.39754463142217944,50ad4be9209fc59e8684d0391472eaf4,0.06668853759765625
e1_camera_a0.15,camera,0.15,0.0,astronaut,0.10941928874815149,b93c9db40a03d6eb4237a5b347fca4a9,0.017635345458984375
e1_camera_a0.15,camera,0.15,0.0,camera,0.17996890476592547,b93c9db40a03d6eb4237a5b347fca4a9,0.017635345458984375
e1_camera_a0.15,camera,0.15,0.0,coffee,0.12522010170609835,b93c9db40a03d6eb4237a5b347fca4a9,0.017635345458984375
e1_camera_a0.15,camera,0.15,0.0,chelsea,0.07745232196504367,b93c9db40a03d6eb4237a5b347fca4a9,0.017635345458984375
e1_camera_a0.15,camera,0.15,0.0,coins,0.15165381703228006,b93c9db40a03d6eb4237a5b347fca4a9,0.017635345458984375
e1_camera_a0.15,camera,0.15,0.0,horse,0.04799242266621488,b93c9db40a03d6eb4237a5b347fca4a9,0.017635345458984375
e1_camera_a0.15,camera,0.15,0.0,page,0.09998097517296799,b93c9db40a03d6eb4237a5b347fca4a9,0.017635345458984375
e1_camera_a0.15,camera,0.15,0.0,rocket,0.16782087849372324,b93c9db40a03d6eb4237a5b347fca4a9,0.017635345458984375
e1_camera_a0.15,camera,0.15,0.0,immunohistochemistry,0.13850454948887428,b93c9db40a03d6eb4237a5b347fca4a9,0.017635345458984375
e1_camera_a0.15,camera,0.15,0.0,cell,0.03505642854946339,b93c9db40a03d6eb4237a5b347fca4a9,0.017635345458984375
e1_camera_a0.15,camera,0.15,0.0,synth_sparse,0.04126251219541628,b93c9db40a03d6eb4237a5b347fca4a9,0.017635345458984375
e1_camera_a0.15,camera,0.15,0.0,synth_low,0.10578019942828769,b93c9db40a03d6eb4237a5b347fca4a9,0.017635345458984375
e1_camera_a0.15,camera,0.15,0.0,synth_mid,0.1407362451570659,b93c9db40a03d6eb4237a5b347fca4a9,0.017635345458984375
e1_camera_a0.15,camera,0.15,0.0,synth_dense,0.1642256887385553,b93c9db40a03d6eb4237a5b347fca4a9,0.017635345458984375
e1_camera_a0.15,camera,0.15,0.0,synth_veryd,0.1564833793268498,b93c9db40a03d6eb4237a5b347fca4a9,0.017635345458984375
e1_camera_a1.0,camera,1.0,0.0750961303710937,astronaut,0.4602160937373271,cc8ff983f25b164b00baf1c76d5fecc6,0.10298919677734375
e1_camera_a1.0,camera,1.0,0.0750961303710937,camera,0.757708008737944,cc8ff983f25b164b00baf1c76d5fecc6,0.10298919677734375
e1_camera_a1.0,camera,1.0,0.0750961303710937,coffee,0.3560636173384739,cc8ff983f25b164b00baf1c76d5fecc6,0.10298919677734375
e1_camera_a1.0,camera,1.0,0.0750961303710937,chelsea,0.23349335302490665,cc8ff983f25b164b00baf1c76d5fecc6,0.10298919677734375
e1_camera_a1.0,camera,1.0,0.0750961303710937,coins,0.38313325437364093,cc8ff983f25b164b00baf1c76d5fecc6,0.10298919677734375
e1_camera_a1.0,camera,1.0,0.0750961303710937,horse,0.11907864099703641,cc8ff983f25b164b00baf1c76d5fecc6,0.10298919677734375
e1_camera_a1.0,camera,1.0,0.0750961303710937,page,0.3260802676083721,cc8ff983f25b164b00baf1c76d5fecc6,0.10298919677734375
e1_camera_a1.0,camera,1.0,0.0750961303710937,rocket,0.33254009929352707,cc8ff983f25b164b00baf1c76d5fecc6,0.10298919677734375
e1_camera_a1.0,camera,1.0,0.0750961303710937,immunohistochemistry,0.5011590079083229,cc8ff983f25b164b00baf1c76d5fecc6,0.10298919677734375
