source,alpha,seed,dens_before,dens_after,scale_after,f1_before,f1_after,rec_before,rec_after,chamfer_before,chamfer_after
coins,1.0,1,0.07428359985351562,0.056049346923828125,0.8526753743489583,0.8239592913254642,0.7461514789755848,0.9875211831767062,0.9851630027904444,1.9179915189743042,2.117448568344116
coins,1.0,2,0.07428359985351562,0.056049346923828125,0.8526753743489583,0.8777800801914517,0.764007528517048,0.974631541108201,0.9843462873477166,1.3840827941894531,2.055582284927368
horse,0.3,0,0.012966156005859375,0.0129547119140625,1.4,0.9804639266441975,1.0,0.9646954986760812,1.0,0.5571753978729248,0.2338811457157135
horse,0.3,1,0.012966156005859375,0.0129547119140625,1.4,1.0,1.0,1.0,1.0,0.3478679060935974,0.2212376594543457
horse,0.3,2,0.012966156005859375,0.0129547119140625,1.4,0.9737778201326264,0.9934712468908111,0.9585172109443955,0.9873380447585395,0.7718305587768555,0.31242331862449646
horse,1.0,0,0.012973785400390625,0.012969970703125,1.4,0.9749597751364836,1.0,0.9541311379006174,1.0,0.6422871351242065,0.23057344555854797
horse,1.0,1,0.012973785400390625,0.012969970703125,1.4,1.0,1.0,1.0,1.0,0.3489491939544678,0.2203710675239563
horse,1.0,2,0.012973785400390625,0.012969970703125,1.4,0.9744055183324133,0.9930314183060943,0.9594236989120847,0.9864705882352941,0.7593961954116821,0.32188183069229126
page,0.3,0,0.031772613525390625,0.044887542724609375,1.0014994303385416,0.7929565141557177,0.7489677350258597,0.8770560691559611,0.7174301011302796,6.618099212646484,5.785179138183594
page,0.3,1,0.031772613525390625,0.044887542724609375,1.0014994303385416,0.6756215243709864,0.6921165345497261,0.9296434145755793,0.9523242967621314,10.329795837402344,8.951729774475098
page,0.3,2,0.031772613525390625,0.044887542724609375,1.0014994303385416,0.639324099328351,0.6792867477454173,0.8981870572697803,0.9369422962522308,12.787041664123535,9.479453086853027
page,1.0,0,0.08687210083007812,0.08834457397460938,0.42207234700520835,0.7269574585963356,0.620440085127376,0.9927984894392482,0.8686471782028585,7.011514663696289,7.902886867523193
page,1.0,1,0.08687210083007812,0.08834457397460938,0.42207234700520835,0.9066315357022876,0.6700148907665565,0.9717648092038818,0.8788807806900125,2.3072354793548584,7.179830551147461
page,1.0,2,0.08687210083007812,0.08834457397460938,0.42207234700520835,0.8825392619001886,0.6600937387568814,0.9706231063101041,0.7923485470011659,4.188490867614746,7.947234153747559
rocket,0.3,0,0.00441741943359375,0.044841766357421875,1.0021097819010416,0.5741350320884742,0.9026674256796136,0.9844559585492227,0.8758826031475968,6.288501739501953,1.5718333721160889
rocket,0.3,1,0.00441741943359375,0.044841766357421875,1.0021097819010416,0.47889513879361595,0.9005047006476693,0.8221070811744386,0.8622713738834539,12.468422889709473,2.109394073486328
rocket,0.3,2,0.00441741943359375,0.044841766357421875,1.0021097819010416,0.49262177662641116,0.8878978740770159,0.7806563039723662,0.8770735857082093,10.7239408493042,1.587907314300537
rocket,1.0,0,0.042999267578125,0.0452728271484375,0.9963623046875,0.8391704755004836,0.9022814126805968,0.7983498935415189,0.8709976407145265,2.4681966304779053,1.2493202686309814
rocket,1.0,1,0.042999267578125,0.0452728271484375,0.9963623046875,0.8704084972210658,0.8917664408857641,0.78708303761533,0.861139197842939,1.4032576084136963,1.6015639305114746
rocket,1.0,2,0.042999267578125,0.0452728271484375,0.9963623046875,0.9182210307581791,0.8821740251657197,0.9216643009226402,0.869649477586788,1.3164148330688477,1.5595825910568237
immunohistochemistry,0.3,0,4.57763671875e-05,0.04473114013671875,1.0035847981770833,0.0012317896482293023,0.5816113213740022,1.0,0.8936551253624424,111.41236114501953,3.9674227237701416
immunohistochemistry,0.3,1,4.57763671875e-05,0.04473114013671875,1.0035847981770833,0.0004478092332666284,0.49629329066552097,1.0,0.9422650520211496,113.23270416259766,4.47264289855957
immunohistochemistry,0.3,2,4.57763671875e-05,0.04473114013671875,1.0035847981770833,0.0008846426043878273,0.4254942478268254,1.0,0.9931775541531639,105.13108825683594,4.6411542892456055
immunohistochemistry,1.0,0,0.18843460083007812,0.16257095336914062,0.4,0.8496024343668377,0.6770194972381465,0.7990161345830719,0.6584461599831053,2.059110641479492,2.9208736419677734
immunohistochemistry,1.0,1,0.18843460083007812,0.16257095336914062,0.4,0.8436839038313619,0.7929705400044096,0.8087738121748285,0.904357416054626,2.2594096660614014,2.0102200508117676
immunohistochemistry,1.0,2,0.18843460083007812,0.16257095336914062,0.4,0.8909833316270955,0.772026339773838,0.9232544486507278,0.8957692939437314,1.3135616779327393,2.1942763328552246
cell,0.3,0,0.0,0.023830413818359375,1.2822611490885416,0.0,0.7124401924415035,0.0,0.6591964142788539,nan,5.676704406738281
cell,0.3,1,0.0,0.023830413818359375,1.2822611490885416,0.0,0.69062772252367,0.0,0.9948775412197854,nan,3.440408945083618
cell,0.3,2,0.0,0.023830413818359375,1.2822611490885416,0.0,0.7781128881105681,0.0,0.7883784216423884,nan,3.898209571838379
cell,1.0,0,0.00164794921875,0.04559326171875,0.99208984375,0.01924146597721514,0.21051539608780998,1.0,0.1229082998661312,91.18022918701172,46.296321868896484
cell,1.0,1,0.00164794921875,0.04559326171875,0.99208984375,0.014684336707511986,0.5534502850628567,1.0,0.5458500669344043,97.11263275146484,5.311267852783203
cell,1.0,2,0.00164794921875,0.04559326171875,0.99208984375,0.013477871890503909,0.23225932027611243,1.0,0.1817269076305221,82.99629974365234,32.68978500366211
